,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
0,2008,2008 Annual,Air Pollution,Alabama,43.0,14.1,0.7,,,AHR data,
1,2008,2008 Annual,Air Pollution,Alaska,5.0,7.2,-1.85,,,AHR data,
2,2008,2008 Annual,Air Pollution,Arizona,23.0,10.6,-0.59,,,AHR data,
3,2008,2008 Annual,Air Pollution,Arkansas,31.0,12.3,0.04,,,AHR data,
4,2008,2008 Annual,Air Pollution,California,49.0,14.7,0.92,,,AHR data,
5,2008,2008 Annual,Air Pollution,Colorado,8.0,7.8,-1.63,,,AHR data,
6,2008,2008 Annual,Air Pollution,Connecticut,30.0,12.2,0.0,,,AHR data,
7,2008,2008 Annual,Air Pollution,Delaware,47.0,14.6,0.89,,,AHR data,
8,2008,2008 Annual,Air Pollution,Florida,16.0,9.3,-1.07,,,AHR data,
9,2008,2008 Annual,Air Pollution,Georgia,49.0,14.7,0.92,,,AHR data,
10,2008,2008 Annual,Air Pollution,Hawaii,1.0,4.6,-2.0,,,AHR data,
11,2008,2008 Annual,Air Pollution,Idaho,6.0,7.6,-1.7,,,AHR data,
12,2008,2008 Annual,Air Pollution,Illinois,47.0,14.6,0.89,,,AHR data,
13,2008,2008 Annual,Air Pollution,Indiana,46.0,14.4,0.81,,,AHR data,
14,2008,2008 Annual,Air Pollution,Iowa,24.0,10.9,-0.48,,,AHR data,
15,2008,2008 Annual,Air Pollution,Kansas,22.0,10.4,-0.67,,,AHR data,
16,2008,2008 Annual,Air Pollution,Kentucky,41.0,13.8,0.59,,,AHR data,
17,2008,2008 Annual,Air Pollution,Louisiana,31.0,12.3,0.04,,,AHR data,
18,2008,2008 Annual,Air Pollution,Maine,18.0,9.7,-0.92,,,AHR data,
19,2008,2008 Annual,Air Pollution,Maryland,36.0,12.9,0.26,,,AHR data,
20,2008,2008 Annual,Air Pollution,Massachusetts,19.0,10.2,-0.74,,,AHR data,
21,2008,2008 Annual,Air Pollution,Michigan,38.0,13.0,0.3,,,AHR data,
22,2008,2008 Annual,Air Pollution,Minnesota,12.0,8.7,-1.29,,,AHR data,
23,2008,2008 Annual,Air Pollution,Mississippi,29.0,12.0,-0.07,,,AHR data,
24,2008,2008 Annual,Air Pollution,Missouri,33.0,12.4,0.07,,,AHR data,
25,2008,2008 Annual,Air Pollution,Montana,9.0,8.2,-1.48,,,AHR data,
26,2008,2008 Annual,Air Pollution,Nebraska,9.0,8.2,-1.48,,,AHR data,
27,2008,2008 Annual,Air Pollution,Nevada,14.0,9.1,-1.15,,,AHR data,
28,2008,2008 Annual,Air Pollution,New Hampshire,15.0,9.2,-1.11,,,AHR data,
29,2008,2008 Annual,Air Pollution,New Jersey,34.0,12.5,0.11,,,AHR data,
30,2008,2008 Annual,Air Pollution,New Mexico,4.0,6.7,-2.0,,,AHR data,
31,2008,2008 Annual,Air Pollution,New York,28.0,11.7,-0.18,,,AHR data,
32,2008,2008 Annual,Air Pollution,North Carolina,36.0,12.9,0.26,,,AHR data,
33,2008,2008 Annual,Air Pollution,North Dakota,3.0,5.6,-2.0,,,AHR data,
34,2008,2008 Annual,Air Pollution,Ohio,42.0,13.9,0.63,,,AHR data,
35,2008,2008 Annual,Air Pollution,Oklahoma,20.0,10.3,-0.7,,,AHR data,
