Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2002,2002 Annual,All Determinants,Alaska,38,-0.223,,,,AHR data,
2002,2002 Annual,All Determinants,Arizona,35,-0.178,,,,AHR data,
2002,2002 Annual,All Determinants,Arkansas,44,-0.367,,,,AHR data,
2002,2002 Annual,All Determinants,California,24,0.148,,,,AHR data,
2002,2002 Annual,All Determinants,Colorado,14,0.304,,,,AHR data,
2002,2002 Annual,All Determinants,Alabama,41,-0.246,,,,AHR data,
2002,2002 Annual,All Determinants,Connecticut,3,0.582,,,,AHR data,
2002,2002 Annual,All Determinants,Delaware,32,-0.041,,,,AHR data,
2002,2002 Annual,All Determinants,Florida,45,-0.368,,,,AHR data,
2002,2002 Annual,All Determinants,Georgia,36,-0.195,,,,AHR data,
2002,2002 Annual,All Determinants,Hawaii,17,0.255,,,,AHR data,
2002,2002 Annual,All Determinants,Idaho,21,0.214,,,,AHR data,
2002,2002 Annual,All Determinants,Illinois,30,0.036,,,,AHR data,
2002,2002 Annual,All Determinants,Indiana,31,0.035,,,,AHR data,
2002,2002 Annual,All Determinants,Iowa,7,0.441,,,,AHR data,
2002,2002 Annual,All Determinants,Kansas,19,0.23,,,,AHR data,
2002,2002 Annual,All Determinants,Kentucky,39,-0.224,,,,AHR data,
2002,2002 Annual,All Determinants,Louisiana,50,-0.574,,,,AHR data,
2002,2002 Annual,All Determinants,Maine,9,0.385,,,,AHR data,
2002,2002 Annual,All Determinants,Maryland,22,0.19,,,,AHR data,
2002,2002 Annual,All Determinants,Massachusetts,1,0.615,,,,AHR data,
2002,2002 Annual,All Determinants,Michigan,27,0.06,,,,AHR data,
2002,2002 Annual,All Determinants,Minnesota,4,0.578,,,,AHR data,
2002,2002 Annual,All Determinants,Mississippi,49,-0.507,,,,AHR data,
2002,2002 Annual,All Determinants,Missouri,28,0.047,,,,AHR data,
2002,2002 Annual,All Determinants,Montana,25,0.101,,,,AHR data,
2002,2002 Annual,All Determinants,Nebraska,10,0.362,,,,AHR data,
2002,2002 Annual,All Determinants,Nevada,40,-0.238,,,,AHR data,
2002,2002 Annual,All Determinants,New Hampshire,2,0.608,,,,AHR data,
2002,2002 Annual,All Determinants,New Jersey,13,0.33,,,,AHR data,
2002,2002 Annual,All Determinants,New Mexico,48,-0.479,,,,AHR data,
2002,2002 Annual,All Determinants,New York,34,-0.126,,,,AHR data,
2002,2002 Annual,All Determinants,North Carolina,33,-0.107,,,,AHR data,
2002,2002 Annual,All Determinants,North Dakota,15,0.289,,,,AHR data,
2002,2002 Annual,All Determinants,Ohio,28,0.047,,,,AHR data,
2002,2002 Annual,All Determinants,Oklahoma,46,-0.379,,,,AHR data,
2002,2002 Annual,All Determinants,Oregon,19,0.23,,,,AHR data,
