Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
1999,1999 Annual,All Determinants,Arizona,45,-0.407,,,,AHR data,
1999,1999 Annual,All Determinants,Arkansas,48,-0.426,,,,AHR data,
1999,1999 Annual,All Determinants,California,25,0.078,,,,AHR data,
1999,1999 Annual,All Determinants,Colorado,17,0.297,,,,AHR data,
1999,1999 Annual,All Determinants,Alabama,38,-0.259,,,,AHR data,
1999,1999 Annual,All Determinants,Alaska,35,-0.155,,,,AHR data,
1999,1999 Annual,All Determinants,Connecticut,2,0.556,,,,AHR data,
1999,1999 Annual,All Determinants,Delaware,33,-0.099,,,,AHR data,
1999,1999 Annual,All Determinants,Florida,43,-0.31,,,,AHR data,
1999,1999 Annual,All Determinants,Georgia,34,-0.129,,,,AHR data,
1999,1999 Annual,All Determinants,Hawaii,10,0.364,,,,AHR data,
1999,1999 Annual,All Determinants,Idaho,27,0.065,,,,AHR data,
1999,1999 Annual,All Determinants,Illinois,19,0.196,,,,AHR data,
1999,1999 Annual,All Determinants,Indiana,24,0.092,,,,AHR data,
1999,1999 Annual,All Determinants,Iowa,15,0.307,,,,AHR data,
1999,1999 Annual,All Determinants,Kansas,18,0.24,,,,AHR data,
1999,1999 Annual,All Determinants,Kentucky,37,-0.223,,,,AHR data,
1999,1999 Annual,All Determinants,Louisiana,50,-0.512,,,,AHR data,
1999,1999 Annual,All Determinants,Maine,6,0.441,,,,AHR data,
1999,1999 Annual,All Determinants,Maryland,16,0.306,,,,AHR data,
1999,1999 Annual,All Determinants,Massachusetts,4,0.512,,,,AHR data,
1999,1999 Annual,All Determinants,Michigan,28,0.017,,,,AHR data,
1999,1999 Annual,All Determinants,Minnesota,1,0.595,,,,AHR data,
1999,1999 Annual,All Determinants,Mississippi,47,-0.419,,,,AHR data,
1999,1999 Annual,All Determinants,Missouri,31,-0.049,,,,AHR data,
1999,1999 Annual,All Determinants,Montana,30,-0.019,,,,AHR data,
1999,1999 Annual,All Determinants,Nebraska,14,0.312,,,,AHR data,
1999,1999 Annual,All Determinants,Nevada,45,-0.407,,,,AHR data,
1999,1999 Annual,All Determinants,New Hampshire,2,0.556,,,,AHR data,
1999,1999 Annual,All Determinants,New Jersey,13,0.317,,,,AHR data,
1999,1999 Annual,All Determinants,New Mexico,49,-0.474,,,,AHR data,
1999,1999 Annual,All Determinants,New York,36,-0.213,,,,AHR data,
1999,1999 Annual,All Determinants,North Carolina,32,-0.078,,,,AHR data,
1999,1999 Annual,All Determinants,North Dakota,20,0.184,,,,AHR data,
1999,1999 Annual,All Determinants,Ohio,23,0.122,,,,AHR data,
1999,1999 Annual,All Determinants,Oklahoma,40,-0.278,,,,AHR data,
1999,1999 Annual,All Determinants,Oregon,22,0.149,,,,AHR data,
1999,1999 Annual,All Determinants,Pennsylvania,21,0.169,,,,AHR data,
1999,1999 Annual,All Determinants,Rhode Island,12,0.329,,,,AHR data,
1999,1999 Annual,All Determinants,South Carolina,44,-0.399,,,,AHR data,
1999,1999 Annual,All Determinants,South Dakota,26,0.077,,,,AHR data,
1999,1999 Annual,All Determinants,Tennessee,41,-0.282,,,,AHR data,
1999,1999 Annual,All Determinants,Texas,38,-0.259,,,,AHR data,
1999,1999 Annual,All Determinants,United States,,,,,,AHR data,
1999,1999 Annual,All Determinants,Utah,8,0.398,,,,AHR data,
1999,1999 Annual,All Determinants,Vermont,7,0.431,,,,AHR data,
1999,1999 Annual,All Determinants,Virginia,9,0.381,,,,AHR data,
1999,1999 Annual,All Determinants,Washington,11,0.333,,,,AHR data,
1999,1999 Annual,All Determinants,West Virginia,42,-0.309,,,,AHR data,
1999,1999 Annual,All Determinants,Wisconsin,5,0.475,,,,AHR data,
1999,1999 Annual,All Determinants,Wyoming,29,0.009,,,,AHR data,
1999,1999 Annual,All Outcomes,Alaska,15,0.264,,,,AHR data,
1999,1999 Annual,All Outcomes,Arizona,21,0.212,,,,AHR data,
1999,1999 Annual,All Outcomes,Arkansas,44,-0.372,,,,AHR data,
1999,1999 Annual,All Outcomes,California,18,0.251,,,,AHR data,
1999,1999 Annual,All Outcomes,Colorado,5,0.496,,,,AHR data,
1999,1999 Annual,All Outcomes,Connecticut,16,0.263,,,,AHR data,
1999,1999 Annual,All Outcomes,Delaware,40,-0.27,,,,AHR data,
1999,1999 Annual,All Outcomes,Florida,26,0.089,,,,AHR data,
1999,1999 Annual,All Outcomes,Georgia,40,-0.27,,,,AHR data,
1999,1999 Annual,All Outcomes,Hawaii,1,0.69,,,,AHR data,
1999,1999 Annual,All Outcomes,Idaho,4,0.521,,,,AHR data,
1999,1999 Annual,All Outcomes,Illinois,35,-0.162,,,,AHR data,
1999,1999 Annual,All Outcomes,Indiana,36,-0.176,,,,AHR data,
1999,1999 Annual,All Outcomes,Iowa,13,0.296,,,,AHR data,
1999,1999 Annual,All Outcomes,Kansas,24,0.1,,,,AHR data,
1999,1999 Annual,All Outcomes,Kentucky,46,-0.41,,,,AHR data,
1999,1999 Annual,All Outcomes,Louisiana,49,-0.495,,,,AHR data,
1999,1999 Annual,All Outcomes,Maine,19,0.249,,,,AHR data,
1999,1999 Annual,All Outcomes,Maryland,32,-0.133,,,,AHR data,
1999,1999 Annual,All Outcomes,Alabama,48,-0.494,,,,AHR data,
1999,1999 Annual,All Outcomes,Massachusetts,11,0.349,,,,AHR data,
1999,1999 Annual,All Outcomes,Michigan,31,-0.089,,,,AHR data,
1999,1999 Annual,All Outcomes,Minnesota,7,0.442,,,,AHR data,
1999,1999 Annual,All Outcomes,Mississippi,50,-0.574,,,,AHR data,
1999,1999 Annual,All Outcomes,Missouri,38,-0.195,,,,AHR data,
